region,year,month,IBMR,sal_base_median,sal_base_l95,sal_base_u95,sal_D1641_median,sal_D1641_l95,sal_D1641_u95,sal_NAA_median,sal_NAA_l95,sal_NAA_u95
Confluence,2001,2,othcyc,1,1,1,0.15474948501793073,0.08927608728422395,0.26593305607646994,0.15474948501793073,0.08927608728422395,0.26593305607646994
Confluence,2001,2,other,1,1,1,4.491154397096712,2.1548979371360772,8.892221861869945,4.491154397096712,2.1548979371360772,8.892221861869945
Confluence,2001,2,pdiapfor,1,1,1,0.0989089973635443,0.0594897811468619,0.15675120780133656,0.0989089973635443,0.0594897811468619,0.15675120780133656
Confluence,2001,3,acartela,1,1,1,0.12432186729063388,0,0.22078980780091312,0.12432186729063388,0,0.22078980780091312
Confluence,2001,3,allcopnaup,1,1,1,0.7222714362206633,0.5648517945628545,0.9212066620488617,0.7222714362206633,0.5648517945628545,0.9212066620488617
Confluence,2001,3,daphnia,1,1,1,3.023704522611159,2.389926547715271,3.8565992513690417,3.023704522611159,2.389926547715271,3.8565992513690417
Confluence,2001,3,eurytem,1,1,1,0.3135293811271258,0.2456769030888789,0.4030619062003374,0.3135293811271258,0.2456769030888789,0.4030619062003374
Confluence,2001,3,limno,1,1,1,0.19899320162148446,0.10933963938574828,0.3287543695413931,0.19899320162148446,0.10933963938574828,0.3287543695413931
Confluence,2001,3,mysid,1,1,1,0.07511420732897814,0.003986949696465835,0.15230689675501335,0.07511420732897814,0.003986949696465835,0.15230689675501335
Confluence,2001,3,othcalad,1,1,1,0.7014876967406436,0.5313667512755769,0.9473584217805486,0.7014876967406436,0.5313667512755769,0.9473584217805486
Confluence,2001,3,othcaljuv,1,1,1,0.4714151276764552,0.40877368186345425,0.5494396677977843,0.4714151276764552,0.40877368186345425,0.5494396677977843
Confluence,2001,3,othclad,1,1,1,3.331192223442293,2.769300721300817,4.033429970741926,3.331192223442293,2.769300721300817,4.033429970741926
Confluence,2001,3,othcyc,1,1,1,0.5388735406424459,0.36859849153170815,0.7787930484392861,0.5388735406424459,0.36859849153170815,0.7787930484392861
Confluence,2001,3,other,1,1,1,2.1343597398655145,1.3993817627073653,3.3965415208585856,2.1343597398655145,1.3993817627073653,3.3965415208585856
Confluence,2001,3,pdiapfor,1,1,1,0.6501903175314829,0.5442283486119677,0.7657566512510946,0.6501903175314829,0.5442283486119677,0.7657566512510946
Confluence,2001,4,acartela,1,1,1,0.09970101818986137,0.018310879201090834,0.17124133045651277,0.09970101818986137,0.018310879201090834,0.17124133045651277
Confluence,2001,4,allcopnaup,1,1,1,0.6915590988262773,0.5022992945270978,0.9449993892005375,0.6915590988262773,0.5022992945270978,0.9449993892005375
Confluence,2001,4,daphnia,1,1,1,5.384344847815606,3.9658734553153874,7.71837287591836,5.384344847815606,3.9658734553153874,7.71837287591836
Confluence,2001,4,eurytem,1,1,1,0.34685245685326693,0.2493008090024485,0.4842012250444101,0.34685245685326693,0.2493008090024485,0.4842012250444101
Confluence,2001,4,limno,1,1,1,0.1133758849490219,0.05899662606917764,0.2025529570600574,0.1133758849490219,0.05899662606917764,0.2025529570600574
Confluence,2001,4,mysid,1,1,1,0.03559198737684454,0.015886004129058256,0.07509655265867234,0.03559198737684454,0.015886004129058256,0.07509655265867234
Confluence,2001,4,othcalad,1,1,1,0.6752741079182931,0.4621213073348907,0.996936466738047,0.6752741079182931,0.4621213073348907,0.996936466738047
Confluence,2001,4,othcaljuv,1,1,1,0.4438682171390874,0.36629248027994804,0.5422376088685229,0.4438682171390874,0.36629248027994804,0.5422376088685229
Confluence,2001,4,othclad,1,1,1,6.287541268425566,4.868580734317946,8.129358977619514,6.287541268425566,4.868580734317946,8.129358977619514
Confluence,2001,4,othcyc,1,1,1,0.2944620359850151,0.17759538799944202,0.4870909098380618,0.2944620359850151,0.17759538799944202,0.4870909098380618
Confluence,2001,4,other,1,1,1,3.628261338712522,2.078439943179114,6.698223571108075,3.628261338712522,2.078439943179114,6.698223571108075
Confluence,2001,4,pdiapfor,1,1,1,0.7508899811473319,0.6103197750024212,0.9214359000409204,0.7508899811473319,0.6103197750024212,0.9214359000409204
Confluence,2001,5,acartela,1,1,1,0.46385232620430694,0.3996838040572849,0.5442221572328215,0.3181125912964077,0.27007944401203715,0.38071251879615664
